"Small Unit Installation Postcode","number_of_installations","total_output_kw","postcode","longitude","latitude","state"
"6082",750,3680.251,"6082",116.295706,-31.738368,"WA"
"6083",1024,5320.77,"6083",116.196639,-31.793051,"WA"
"6084",2505,14508.351,"6084",116.072828,-31.622021,"WA"
"6090",488,11150.427,"6090",115.894254,-31.862589,"WA"
"6100",1589,9235.947,"6100",115.896029,-31.971725,"WA"
"6101",2282,11744.051,"6101",115.908576,-31.985247,"WA"
"6102",1323,7460.014,"6102",115.904425,-32.005644,"WA"
"6103",1021,5171.087,"6103",115.913458,-31.960364,"WA"
"6104",2209,13648.85,"6104",115.977633,-31.965498,"WA"
"6105",2268,13338.831,"6105",115.963293,-31.95388,"WA"
"6106",266,8264.455,"6106",115.945564,-31.992082,"WA"
"6107",8092,41478.094,"6107",115.967142,-32.017663,"WA"
"6108",5050,21103.16,"6108",115.953584,-32.06089,"WA"
"6109",2815,15483.955,"6109",116.013165,-32.039897,"WA"
"6110",9311,43280.832,"6110",116.008603,-32.078535,"WA"
"6111",4989,24380.854,"6111",116.192636,-32.10398,"WA"
"6112",15851,82407.359,"6112",115.997934,-32.158675,"WA"
"6121",856,5310.776,"6121",115.916459,-32.208934,"WA"
"6122",5566,30424.903,"6122",116.0072,-32.221725,"WA"
"6123",583,3143.885,"6123",115.98589,-32.295176,"WA"
"6124",325,1633.735,"6124",116.072494,-32.338316,"WA"
"6125",853,5311.297,"6125",115.901277,-32.364427,"WA"
"6126",61,345.96,"6126",115.977043,-32.440033,"WA"
"6147",2926,12090.113,"6147",115.941353,-32.043771,"WA"
"6148",3762,17246.908,"6148",115.924691,-32.030183,"WA"
"6149",4203,19500.28,"6149",115.858679,-32.064941,"WA"
"6150",2592,12599.07,"6150",115.833608,-32.061682,"WA"
"6151",1856,10481.963,"6151",115.869482,-31.982199,"WA"
"6152",3637,18259.486,"6152",115.870058,-32.008509,"WA"
"6153",3402,19075.039,"6153",115.837525,-32.024363,"WA"
"6154",2030,12034.824,"6154",115.825994,-32.040061,"WA"
"6155",12333,62190.237,"6155",115.890779,-32.061501,"WA"
"6156",2904,15272.301,"6156",115.800233,-32.03954,"WA"
"6157",2100,10388.632,"6157",115.783732,-32.038228,"WA"
"6158",1101,5732.939,"6158",115.766561,-32.038541,"WA"
"6159",331,1936.885,"6159",115.750311,-32.035224,"WA"
"6160",1033,5515.294,"6160",115.754545,-32.054065,"WA"
"6161",4,72.9,"6161",115.520516,-32.005554,"WA"
"6162",2035,9248.42,"6162",115.759022,-32.068768,"WA"
"6163",10096,53960.621,"6163",115.798722,-32.084784,"WA"
"6164",14620,74082.932,"6164",115.854584,-32.131993,"WA"
"6165",57,2176.87,"6165",115.799431,-32.19598,"WA"
"6166",2146,12810.868,"6166",115.790704,-32.158361,"WA"
"6167",6048,28543.326,"6167",115.835308,-32.223657,"WA"
"6168",5287,23541.34,"6168",115.75773,-32.281957,"WA"
"6169",8621,36074.861,"6169",115.763949,-32.338504,"WA"
"6170",3928,19891.51,"6170",115.835972,-32.265645,"WA"
"6171",9883,48600.284,"6171",115.833257,-32.328863,"WA"
"6172",3476,15607.084,"6172",115.753147,-32.37547,"WA"
"6173",2988,14643.288,"6173",115.757908,-32.407414,"WA"
"6174",1236,6319.117,"6174",115.760224,-32.42656,"WA"
"6175",988,4794.69,"6175",115.755289,-32.445896,"WA"
"6176",472,2740.335,"6176",115.814323,-32.421669,"WA"
"6180",1863,9064.32,"6180",115.728286,-32.557981,"WA"
"6181",166,924.837,"6181",115.728286,-32.557981,"WA"
"6207",392,2470.635,"6207",115.959595,-32.514294,"WA"
"6208",4068,18899.936,"6208",115.847592,-32.630616,"WA"
"6209",509,2377.49,"6209",115.728286,-32.557981,"WA"
"6210",19977,88690.045,"6210",115.728286,-32.557981,"WA"
"6211",2553,12384.738,"6211",115.728286,-32.557981,"WA"
"6213",177,990.053,"6213",116.128249,-32.702065,"WA"
"6214",177,869.59,"6214",115.859383,-32.750429,"WA"
"6215",1026,5357.896,"6215",115.896715,-32.853807,"WA"
"6218",144,757.015,"6218",115.903112,-32.946154,"WA"
"6219",14,97.725,"6219",115.8515,-33.0035,"WA"
"6220",1014,6113.725,"6220",116.029777,-33.031221,"WA"
"6221",54,328.268,"6221",115.907354,-33.119332,"WA"
"6223",37,212.189,"6223",115.903221,-33.18208,"WA"
"6224",269,1688.707,"6224",115.846788,-33.245138,"WA"
"6225",1925,8996.198,"6225",116.204886,-33.35257,"WA"
"6226",263,1431.314,"6226",115.847234,-33.291834,"WA"
"6227",190,867.84,"6227",115.868603,-33.322813,"WA"
"6228",35,208.41,"6228",115.776497,-33.338057,"WA"
"6229",50,934.9,"6229",115.707383,-33.352103,"WA"
"6230",8007,40445.405,"6230",115.649205,-33.341076,"WA"
"6231",18,50.41,"6231",115.65556,-33.364375,"WA"
"6232",2703,12173.759,"6232",115.704263,-33.316625,"WA"
"6233",4643,22200.78,"6233",115.71443,-33.279034,"WA"
"6236",568,2980.381,"6236",115.828921,-33.410436,"WA"
"6237",682,3391.763,"6237",115.674056,-33.475994,"WA"
"6239",1240,6558.784,"6239",115.923933,-33.564872,"WA"
"6240",61,314.57,"6240",115.966143,-33.549593,"WA"
"6243",7,37.623,"6243",116.206928,-33.68873,"WA"
"6244",264,1345.205,"6244",116.506912,-33.783171,"WA"
"6251",97,736.011,"6251",115.888662,-33.682661,"WA"
"6252",28,164.66,"6252",115.956731,-33.748279,"WA"
"6253",192,918.086,"6253",116.03654,-33.773937,"WA"
"6254",110,572.4,"6254",116.072643,-33.844406,"WA"
"6255",913,4611.466,"6255",116.155378,-33.971605,"WA"
"6256",47,318.32,"6256",116.166583,-34.052334,"WA"
"6258",869,5238.24,"6258",116.402179,-34.312823,"WA"
"6260",223,1782.118,"6260",115.860627,-34.438738,"WA"
"6262",145,905.949,"6262",116.141244,-34.706106,"WA"
"6271",931,4561.633,"6271",115.615674,-33.621176,"WA"
"6275",389,2009.417,"6275",115.626518,-34.055304,"WA"
"6280",6741,36187.408,"6280",115.302732,-33.728945,"WA"
"6281",2064,12016.741,"6281",115.0768,-33.610787,"WA"
"6282",577,3667.868,"6282",115.023916,-33.722885,"WA"
"6284",520,3346.828,"6284",115.188682,-33.857591,"WA"
"6285",1732,10100.352,"6285",115.280972,-33.941351,"WA"
"6286",269,1915.731,"6286",115.176529,-34.061823,"WA"
"6288",122,1208.621,"6288",115.233622,-34.171024,"WA"
"6290",378,1863.554,"6290",115.142231,-34.293827,"WA"
"6302",967,4802.49,"6302",116.742895,-31.896269,"WA"
"6304",500,2136.52,"6304",116.76028,-32.176607,"WA"
"6306",205,1158.241,"6306",117.140629,-32.296524,"WA"
"6308",340,1808.235,"6308",116.665242,-32.579015,"WA"
"6309",78,438.484,"6309",117.129227,-32.668322,"WA"
"6311",121,551.58,"6311",117.120895,-32.803533,"WA"
"6312",719,3856.736,"6312",117.306862,-32.979123,"WA"
"6313",53,257.11,"6313",117.243277,-33.05792,"WA"
"6315",378,1894.245,"6315",117.342795,-33.286272,"WA"
"6316",77,313.864,"6316",117.384564,-33.532315,"WA"
"6317",523,2730.543,"6317",117.738912,-33.647362,"WA"
"6318",69,339.421,"6318",117.651128,-33.862021,"WA"
"6320",78,476.51,"6320",117.717905,-34.096397,"WA"
"6321",50,265.468,"6321",117.398532,-34.26948,"WA"
"6322",45,247.08,"6322",117.491623,-34.411973,"WA"
"6323",190,884.814,"6323",117.62552,-34.486238,"WA"
"6324",520,2802.118,"6324",117.781468,-34.618289,"WA"
"6326",82,364.201,"6326",117.785337,-34.769363,"WA"
"6327",44,193.273,"6327",117.593417,-34.858542,"WA"
"6328",53,271.8,"6328",118.462801,-34.919086,"WA"
"6330",4542,22911.572,"6330",117.863286,-34.905438,"WA"
"6331",2,5.59,"6331",117.884,-35.0269,"WA"
"6332",6,17.126,"6332",115.974463,-32.046559,"WA"
"6333",1094,5551.854,"6333",117.158861,-34.902512,"WA"
"6335",137,880.725,"6335",118.112783,-33.869017,"WA"
"6336",54,278.96,"6336",118.596801,-33.928235,"WA"
"6337",48,294.199,"6337",119.237195,-33.990448,"WA"
"6338",110,645.518,"6338",118.657118,-34.362864,"WA"
"6341",31,214.348,"6341",118.215173,-33.513647,"WA"
"6343",21,114.525,"6343",118.79925,-33.535559,"WA"
"6346",56,396.872,"6346",120.349013,-33.319068,"WA"
"6348",133,652.513,"6348",120.145773,-33.881306,"WA"
"6350",62,330.985,"6350",117.6947,-33.4339,"WA"
"6351",6,31.46,"6351",117.922069,-33.189372,"WA"
